hostname,state,software,user_count,note_count,peer_count,discovered_at
androidbook2020.keiji.io,up,mastodon,190,498,249,1612578346
grinch.social,up,mastodon,1,13,5080,1676160802
howes.nz,up,mastodon,3,148,16726,1668064184
mastodon.fediversity.eu,up,mastodon,4,28,7396,1707434902
toots.cactys.xyz,up,mastodon,1,1,15,1669265853
freundliches.de,up,mastodon,4,17,805,1672372919
queerdon.social,up,mastodon,10,273,7976,1667472162
mastodon.roundpond.net,up,mastodon,28,10041,15183,1667877979
mastodon.f12n.de,up,mastodon,10,311,3244,1612578780
masto.twib.me,up,mastodon,7,132,8666,1670260349
calamity.world,up,mastodon,15,2284,16210,1676460778
super-gay.co,up,mastodon,208,51834,14707,1671398112
kurry.social,up,mastodon,1910,133386,13044,1666766962
girlboss.ing,up,mastodon,3,200,4933,1705512401
xreality.social,up,mastodon,107,1150,15669,1667134726
mastodon.mossferatu.monster,up,mastodon,4,0,1556,1676917966
mastodon.unified.contact,up,mastodon,1,0,274,1704973022
sweetme.at,up,mastodon,2,1144,9037,1669098843
toot.cryolog.in,up,mastodon,3,25,841,1680246652
masti.algorithm.berlin,up,mastodon,1,15,1060,1668802304
worldkey.io,up,mastodon,726,141986,25243,1651087213
ceejayoz.io,up,mastodon,1,815,12507,1667166557
mast.boston,up,mastodon,2,0,719,1681321666
social.ds106.us,up,mastodon,89,26055,14519,1668106385
mstdn.co.uk,up,mastodon,3,5494,10216,1645816308
